Timestamp,Real,Imaginary
2544 ns,-158096,-247775
2545 ns,-254171,-194189
2546 ns,717875,1.46299e+06
2547 ns,1.03348e+06,-578191
2548 ns,441949,-488534
2549 ns,317214,1.33911e+06
2550 ns,-504326,747552
2551 ns,-852392,239239
2552 ns,-327331,-1.07724e+06
2553 ns,-519388,-269438
2554 ns,169051,543047
2555 ns,596171,-278944
2556 ns,1.18991e+06,-36641
2557 ns,-165650,-38514
2558 ns,-780061,-805290
2559 ns,2.88397e+06,-428823
2560 ns,-137676,1.94336e+06
2561 ns,23668,524891
2562 ns,933687,434903
2563 ns,911917,103699
2564 ns,-419146,510764
2565 ns,-2.25427e+06,748684
2566 ns,-1.55684e+06,359640
2567 ns,-256761,-325226
2568 ns,-250700,-184094
2569 ns,-510388,-767375
2570 ns,-2.06229e+06,-1.0989e+06
2571 ns,473640,227149
2572 ns,728990,-337586
2573 ns,-823079,-240595
2574 ns,-108709,-417231
2575 ns,17394,-1.07616e+06
2576 ns,-84415,1.89771e+06
2577 ns,-496016,-1309
2578 ns,-89805,1.73522e+06
2579 ns,73933,523598
2580 ns,268461,-453449
2581 ns,-1.19385e+06,-263202
2582 ns,-46292,-622532
2583 ns,302621,-1.71182e+06
2584 ns,-396692,-147841
2585 ns,1.03491e+06,904912
2586 ns,-1.11517e+06,-428074
2587 ns,-140531,-1.67832e+06
2588 ns,-439468,-388989
2589 ns,1.43191e+06,-418744
2590 ns,-460402,514137
2591 ns,-702248,-125093
2594 ns,876555,-746375
2595 ns,-356415,1.02217e+06
2596 ns,448949,1.31087e+06
2597 ns,-1.37348e+06,-753638
2598 ns,-1.17228e+06,246786
2599 ns,344841,-367328
2600 ns,111753,-1.24238e+06
2601 ns,-976042,-1.41591e+06
2602 ns,86813,-638690
2603 ns,1.04294e+06,-214508
2604 ns,-1.1548e+06,-894012
2605 ns,-1.10764e+06,-422541
2606 ns,-170066,-753096
2607 ns,-600930,-865720
2608 ns,-311812,749918
2609 ns,-32442,1.1638e+06
2610 ns,-29042,-63448
2611 ns,-1.21796e+06,989549
2612 ns,1.70902e+06,-1.12896e+06
2613 ns,-849101,433957
2614 ns,620667,-979525
2615 ns,780148,1.22803e+06
2616 ns,1.2999e+06,-22127
2617 ns,230861,1.55671e+06
2618 ns,-143919,209687
2619 ns,-494920,-11888
2620 ns,1.5245e+06,65796
2621 ns,953539,51697
2622 ns,-911200,-680556
2623 ns,-988512,-101501
2624 ns,-72155,315489
2625 ns,325766,594575
2626 ns,41549,-213466
2627 ns,-213859,444797
2628 ns,-386667,-833408
2629 ns,-443962,1.1737e+06
2630 ns,407790,-212340
2631 ns,787563,354524
2632 ns,994805,353183
2633 ns,270205,-873878
2634 ns,397380,-237747
2635 ns,-89938,-578531
2636 ns,302646,681102
2637 ns,-1.18906e+06,-1.27565e+06
2638 ns,-946413,56601
2639 ns,722467,-73348
2640 ns,-744850,637779
2641 ns,-195825,-1.28296e+06
2642 ns,-1.00043e+06,-257030
2643 ns,-661246,680213
2644 ns,-95773,-243089
2645 ns,1.10092e+06,177772
2646 ns,874386,1.1523e+06
2647 ns,431522,510604
2648 ns,-621809,-102959
2649 ns,-1.47214e+06,280132
2650 ns,1.03662e+06,811764
2651 ns,-617921,26156
2652 ns,846977,528370
2653 ns,1.6666e+06,241562
2654 ns,-225195,1.10263e+06
2655 ns,1.1716e+06,-999411
2656 ns,-466800,-473189
2657 ns,-1.01511e+06,985114
2658 ns,-899592,-947783
2659 ns,-1742,-164385
2660 ns,461688,1.32373e+06
2661 ns,1.49606e+06,-131226
2662 ns,-844888,-554586
2663 ns,62744,-51658
2664 ns,-200069,482766
2665 ns,-861827,-521698
2666 ns,-1.31987e+06,1.05567e+06
2667 ns,-941671,-526381
2668 ns,-8281,264139
2669 ns,-325108,690318
2670 ns,-845459,-698546
2671 ns,140289,-1.48785e+06
2672 ns,-360866,110483
2673 ns,175201,-304449
2674 ns,-82970,-584534
2675 ns,117245,323857
2676 ns,-255511,576030
2677 ns,1.06465e+06,-292066
2678 ns,402012,-226672
2679 ns,188813,245951
2680 ns,503359,353156
2681 ns,-292550,-625265
2682 ns,-739141,237815
2683 ns,1.37051e+06,-838167
2684 ns,346324,1.14603e+06
2685 ns,1.24312e+06,262886
2686 ns,742857,408355
2687 ns,-378850,-88415
2688 ns,915914,-679051
2689 ns,-333379,-1.62518e+06
2690 ns,-185016,-1.16831e+06
2691 ns,1.32632e+06,-611281
2692 ns,-503870,897572
2693 ns,-816927,898424
2694 ns,-1.13506e+06,-409867
2695 ns,-1.05856e+06,230988
2696 ns,758989,541243
2697 ns,-165911,-422356
2698 ns,1.2404e+06,-170602
2699 ns,1.36694e+06,-249333
2700 ns,-78740,-681445
2701 ns,501166,-1.82652e+06
2702 ns,698961,-1.71726e+06
2703 ns,-14233,-1.14971e+06
2704 ns,-829812,892970
2705 ns,-1.90474e+06,445
2706 ns,195390,-418039
2707 ns,-1.23794e+06,-193303
2708 ns,-1.42406e+06,-16399
2709 ns,726854,-816992
2710 ns,-615394,-536495
2711 ns,-280208,985108
2712 ns,-1.05147e+06,482012
2713 ns,-199943,544742
2714 ns,-1.67973e+06,-595144
2715 ns,302780,691780
2716 ns,-347514,-1.31524e+06
2717 ns,62108,-1.37145e+06
2718 ns,-381667,377022
2719 ns,-1.88908e+06,-446873
2720 ns,1.0099e+06,1.94187e+06
2721 ns,-675572,20034
2722 ns,-424421,-928114
2723 ns,-1.94482e+06,-648093
2724 ns,-502283,-83278
2725 ns,644587,433751
2726 ns,-480622,-1.57052e+06
2727 ns,275101,-31794
2728 ns,346943,685054
2729 ns,-2.48132e+06,-357090
